"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"ASN00009021","PERTH AIRPORT, AS","2013-06-01","0.00","54","64","35"
"ASN00009021","PERTH AIRPORT, AS","2013-06-02","0.00","57","64","47"
"ASN00009021","PERTH AIRPORT, AS","2013-06-03","0.00","56","67","52"
"ASN00009021","PERTH AIRPORT, AS","2013-06-04","0.00","56","69","47"
"ASN00009021","PERTH AIRPORT, AS","2013-06-05","0.02","60","67","47"
"ASN00009021","PERTH AIRPORT, AS","2013-06-06","0.01","56","69","55"
"ASN00009021","PERTH AIRPORT, AS","2013-06-07","0.00","55","71","44"
"ASN00009021","PERTH AIRPORT, AS","2013-06-08","0.00","60","69","43"
"ASN00009021","PERTH AIRPORT, AS","2013-06-09","0.02","59","70","52"
"ASN00009021","PERTH AIRPORT, AS","2013-06-10","0.38","55","67","47"
"ASN00009021","PERTH AIRPORT, AS","2013-06-11","0.00","55","65","45"
"ASN00009021","PERTH AIRPORT, AS","2013-06-12","0.00","56","67","49"
"ASN00009021","PERTH AIRPORT, AS","2013-06-13","0.00","59","69","47"
"ASN00009021","PERTH AIRPORT, AS","2013-06-14","0.00","58","68","51"
"ASN00009021","PERTH AIRPORT, AS","2013-06-15","0.00","48","60","52"
"ASN00009021","PERTH AIRPORT, AS","2013-06-16","0.00","55","66","36"
"ASN00009021","PERTH AIRPORT, AS","2013-06-17","0.14","53","65","46"
"ASN00009021","PERTH AIRPORT, AS","2013-06-18","0.00","53","64","42"
"ASN00009021","PERTH AIRPORT, AS","2013-06-19","0.00","52","68","39"
"ASN00009021","PERTH AIRPORT, AS","2013-06-20","0.00","54","68","40"
"ASN00009021","PERTH AIRPORT, AS","2013-06-21","0.00","56","67","46"
"ASN00009021","PERTH AIRPORT, AS","2013-06-22","0.00","59","73","47"
"ASN00009021","PERTH AIRPORT, AS","2013-06-23","0.00","59","70","47"
"ASN00009021","PERTH AIRPORT, AS","2013-06-24","0.09","61","72","50"
"ASN00009021","PERTH AIRPORT, AS","2013-06-25","0.23","54","65","53"
"ASN00009021","PERTH AIRPORT, AS","2013-06-26","0.02","56","65","42"
"ASN00009021","PERTH AIRPORT, AS","2013-06-27","0.00","56","68","50"
"ASN00009021","PERTH AIRPORT, AS","2013-06-28","0.00","55","70","45"
"ASN00009021","PERTH AIRPORT, AS","2013-06-29","0.00","54","72","44"
"ASN00009021","PERTH AIRPORT, AS","2013-06-30","0.00","55","73","40"
"ASN00009021","PERTH AIRPORT, AS","2013-07-01","0.00","53","72","40"
"ASN00009021","PERTH AIRPORT, AS","2013-07-02","0.00","57","71","36"
"ASN00009021","PERTH AIRPORT, AS","2013-07-03","0.12","51","63","49"
"ASN00009021","PERTH AIRPORT, AS","2013-07-04","0.04","49","63","39"
"ASN00009021","PERTH AIRPORT, AS","2013-07-05","0.00","51","64","39"
"ASN00009021","PERTH AIRPORT, AS","2013-07-06","0.00","49","63","41"
"ASN00009021","PERTH AIRPORT, AS","2013-07-07","0.00","49","62","39"
"ASN00009021","PERTH AIRPORT, AS","2013-07-08","0.00","51","65","36"
"ASN00009021","PERTH AIRPORT, AS","2013-07-09","0.00","55","67","38"
"ASN00009021","PERTH AIRPORT, AS","2013-07-10","1.00","54","67","47"
"ASN00009021","PERTH AIRPORT, AS","2013-07-11","0.00","55","59","45"
"ASN00009021","PERTH AIRPORT, AS","2013-07-12","0.09","53","67","50"
"ASN00009021","PERTH AIRPORT, AS","2013-07-13","0.00","58","70","42"
"ASN00009021","PERTH AIRPORT, AS","2013-07-14","0.02","60","69","49"
"ASN00009021","PERTH AIRPORT, AS","2013-07-15","0.00","62","72","52"
"ASN00009021","PERTH AIRPORT, AS","2013-07-16","0.41","56","64","53"
"ASN00009021","PERTH AIRPORT, AS","2013-07-17","0.48","46","59","48"
"ASN00009021","PERTH AIRPORT, AS","2013-07-18","0.00","47","61","31"
"ASN00009021","PERTH AIRPORT, AS","2013-07-19","0.00","49","62","38"
"ASN00009021","PERTH AIRPORT, AS","2013-07-20","0.00","48","62","35"
"ASN00009021","PERTH AIRPORT, AS","2013-07-21","0.00","49","61","34"
"ASN00009021","PERTH AIRPORT, AS","2013-07-22","0.00","56","66","42"
"ASN00009021","PERTH AIRPORT, AS","2013-07-23","0.00","62","74","45"
"ASN00009021","PERTH AIRPORT, AS","2013-07-24","0.63","58","67","53"
"ASN00009021","PERTH AIRPORT, AS","2013-07-25","0.09","60","70","50"
"ASN00009021","PERTH AIRPORT, AS","2013-07-26","0.67","56","63","55"
"ASN00009021","PERTH AIRPORT, AS","2013-07-27","0.76","56","66","46"
"ASN00009021","PERTH AIRPORT, AS","2013-07-28","0.09","55","67","47"
"ASN00009021","PERTH AIRPORT, AS","2013-07-29","0.00","56","65","44"
"ASN00009021","PERTH AIRPORT, AS","2013-07-30","0.03","58","68","47"
"ASN00009021","PERTH AIRPORT, AS","2013-07-31","0.25","59","68","53"
"ASN00009021","PERTH AIRPORT, AS","2013-08-01","0.04","56","70","54"
"ASN00009021","PERTH AIRPORT, AS","2013-08-02","0.00","57","69","45"
"ASN00009021","PERTH AIRPORT, AS","2013-08-03","0.00","57","71","46"
"ASN00009021","PERTH AIRPORT, AS","2013-08-04","0.00","63","73","45"
"ASN00009021","PERTH AIRPORT, AS","2013-08-05","0.20","65","72","56"
"ASN00009021","PERTH AIRPORT, AS","2013-08-06","0.62","65","71","59"
"ASN00009021","PERTH AIRPORT, AS","2013-08-07","0.11","65","72","62"
"ASN00009021","PERTH AIRPORT, AS","2013-08-08","1.39","58","64","60"
"ASN00009021","PERTH AIRPORT, AS","2013-08-09","0.48","58","67","49"
"ASN00009021","PERTH AIRPORT, AS","2013-08-10","0.11","58","67","51"
"ASN00009021","PERTH AIRPORT, AS","2013-08-11","0.17","57","65","50"
"ASN00009021","PERTH AIRPORT, AS","2013-08-12","0.02","61","68","49"
"ASN00009021","PERTH AIRPORT, AS","2013-08-13","0.03","56","66","57"
"ASN00009021","PERTH AIRPORT, AS","2013-08-14","0.35","59","68","46"
"ASN00009021","PERTH AIRPORT, AS","2013-08-15","0.04","53","65","53"
"ASN00009021","PERTH AIRPORT, AS","2013-08-16","0.63","55","62","42"
"ASN00009021","PERTH AIRPORT, AS","2013-08-17","0.18","56","66","50"
"ASN00009021","PERTH AIRPORT, AS","2013-08-18","0.03","58","66","47"
"ASN00009021","PERTH AIRPORT, AS","2013-08-19","0.00","55","70","50"
"ASN00009021","PERTH AIRPORT, AS","2013-08-20","0.00","55","67","39"
"ASN00009021","PERTH AIRPORT, AS","2013-08-21","0.00","55","68","46"
"ASN00009021","PERTH AIRPORT, AS","2013-08-22","0.00","57","72","42"
"ASN00009021","PERTH AIRPORT, AS","2013-08-23","0.00","59","76","45"
"ASN00009021","PERTH AIRPORT, AS","2013-08-24","0.00","61","79","44"
"ASN00009021","PERTH AIRPORT, AS","2013-08-25","0.00","60","69","51"
"ASN00009021","PERTH AIRPORT, AS","2013-08-26","0.27","56","65","54"
"ASN00009021","PERTH AIRPORT, AS","2013-08-27","0.08","54","62","47"
"ASN00009021","PERTH AIRPORT, AS","2013-08-28","1.00","56","66","47"
"ASN00009021","PERTH AIRPORT, AS","2013-08-29","0.00","58","69","48"
"ASN00009021","PERTH AIRPORT, AS","2013-08-30","0.25","62","68","52"
"ASN00009021","PERTH AIRPORT, AS","2013-08-31","0.33","65","70","59"
"ASN00009021","PERTH AIRPORT, AS","2013-09-01","0.02","65","73","56"
"ASN00009021","PERTH AIRPORT, AS","2013-09-02","0.00","63","73","61"
"ASN00009021","PERTH AIRPORT, AS","2013-09-03","0.00","60","71","53"
"ASN00009021","PERTH AIRPORT, AS","2013-09-04","0.32","55","65","48"
"ASN00009021","PERTH AIRPORT, AS","2013-09-05","0.00","55","69","47"
"ASN00009021","PERTH AIRPORT, AS","2013-09-06","0.00","61","72","40"
"ASN00009021","PERTH AIRPORT, AS","2013-09-07","1.68","56","65","52"
"ASN00009021","PERTH AIRPORT, AS","2013-09-08","0.09","56","69","44"
"ASN00009021","PERTH AIRPORT, AS","2013-09-09","0.00","60","73","43"
"ASN00009021","PERTH AIRPORT, AS","2013-09-10","0.00","61","71","50"
"ASN00009021","PERTH AIRPORT, AS","2013-09-11","0.72","59","64","55"
"ASN00009021","PERTH AIRPORT, AS","2013-09-12","0.44","59","67","56"
"ASN00009021","PERTH AIRPORT, AS","2013-09-13","0.02","58","68","53"
"ASN00009021","PERTH AIRPORT, AS","2013-09-14","1.06","56","62","53"
"ASN00009021","PERTH AIRPORT, AS","2013-09-15","0.15","53","64","52"
"ASN00009021","PERTH AIRPORT, AS","2013-09-16","0.00","58","71","43"
"ASN00009021","PERTH AIRPORT, AS","2013-09-17","0.43","56","63","48"
"ASN00009021","PERTH AIRPORT, AS","2013-09-18","0.04","61","67","51"
